Team,Player,Event,Mins,Secs,X,Y,X2,Y2
JPN,YW BH,Low Serve,0,22,57,49,42,59
INA,MFG BH,Drive Flat,0,23,43,58,59,51
JPN,YW FH,Drive Flat,0,23,58,54,39,37
INA,KSS BH,Drive Up,0,24,37,33,61,60
JPN,YW FH,Drive Down,0,24,61,61,40,61
INA,KSS FH,Drive Up,0,24,39,61,62,66
JPN,YW FH,Fast Drop,0,25,59,70,40,24
JPN,YW BH,Low Serve,0,35,58,51,42,48
INA,KSS FH,Drive Down,0,35,42,44,68,46
JPN,HE BH,Drive Up,0,36,67,46,35,25
INA,MFG OH,Slow Drop,0,37,30,23,56,25
JPN,YW BH,Slow Lift,0,38,57,23,26,78
INA,MFG FH,Smash,0,39,26,77,71,66
JPN,HE BH,Fast Lift,0,40,70,64,21,36
INA,MFG BH,Slow Lift,0,41,22,40,76,33
JPN,YW FH,Smash,0,42,76,34,36,57
INA,KSS BH,Drive Up,0,42,37,58,67,59
JPN,HE OH,Drive Down,0,43,63,58,37,37
INA,MFG BH,Slow Lift,0,44,36,35,77,56
JPN,HE FH,Fast Drop,0,44,76,62,42,49
INA,MFG FH,Slow Lift,0,46,41,47,78,60
JPN,HE FH,Smash,0,46,77,65,34,62
INA,KSS BH,Slow Lift,0,47,35,60,78,56
JPN,HE FH,Half Smash,0,48,77,57,35,69
INA,KSS FH,Drive Up,0,49,36,72,69,31
JPN,HE FH,Slow Drop,0,50,68,33,43,49
INA,KSS BH,Slow Lift,0,51,42,48,79,82
JPN,HE OH,Smash,0,51,80,81,39,60
INA,KSS BH,Drive Up,0,52,36,58,76,73
JPN,HE BH,Slow Drop,0,53,73,70,43,40
INA,MFG BH,Slow Lift,0,54,42,42,78,64
JPN,HE FH,Fast Drop,0,55,77,68,43,39
INA,KSS BH,Slow Drop,0,56,43,38,-,-
JPN,YW BH,Low Serve,1,15,58,45,42,54
INA,MFG BH,Drive Flat,1,16,42,54,63,26
JPN,HE FH,Drive Flat,1,17,63,28,41,26
INA,MFG BH,Slow Drop,1,17,42,23,56,25
JPN,YW BH,Drive Up,1,18,57,22,31,21
INA,KSS BH,Slow Drop,1,19,32,18,56,77
JPN,HE BH,Slow Lift,1,20,57,79,35,77
INA,MFG FH,Smash,1,21,32,76,69,37
JPN,YW BH,Drive Up,1,21,66,30,44,62
INA,KSS FH,Smash,1,21,42,66,68,41
INA,KSS BH,Low Serve,1,34,42,46,58,52
JPN,HE FH,Drive Flat,1,35,58,53,42,50
INA,KSS OH,Drive Flat,1,35,42,50,-,-
JPN,HE BH,Flick Serve,1,53,58,54,25,36
INA,KSS OH,Drive Flat,1,54,26,39,68,34
JPN,YW FH,Drive Down,1,54,69,38,30,27
INA,KSS BH,Drive Up,1,55,30,30,60,25
JPN,HE FH,Drive Down,1,55,61,23,34,44
INA,KSS BH,Slow Lift,1,56,34,45,74,62
JPN,YW FH,Smash,1,57,69,65,34,59
INA,MFG BH,Drive Flat,2,10,35,66,-,-
JPN,HE BH,Low Serve,2,20,58,45,42,83
INA,MFG FH,Slow Drop,2,21,43,74,53,69
JPN,HE BH,Drive Down,2,21,54,70,38,70
INA,KSS FH,Fast Drop,2,22,37,73,-,-
JPN,HE BH,Low Serve,2,41,58,54,42,48
INA,KSS FH,Drive Flat,2,42,42,48,-,-
JPN,HE BH,Low Serve,2,58,58,47,42,79
INA,MFG FH,Slow Drop,2,59,42,78,56,51
JPN,HE BH,Slow Lift,3,0,56,54,25,31
INA,KSS FH,Fast Drop,3,1,24,33,59,52
JPN,HE FH,Slow Drop,3,2,60,49,-,-
INA,MFG BH,Low Serve,3,14,43,53,57,37
JPN,HE BH,Drive Down,3,15,58,41,38,29
INA,KSS BH,Drive Flat,3,15,36,26,69,25
JPN,YW BH,Fast Lift,3,15,68,26,26,29
INA,KSS OH,Smash,3,17,27,30,69,39
JPN,YW FH,Drive Up,3,17,67,39,37,30
INA,MFG OH,Drive Down,3,18,36,29,67,30
JPN,YW BH,Drive Up,3,18,67,32,35,64
INA,KSS FH,Slow Drop,3,19,39,72,58,39
JPN,YW FH,Slow Lift,3,20,58,37,22,87
INA,KSS FH,Smash,3,21,23,85,73,79
JPN,HE BH,Drive Flat,3,21,69,76,37,70
INA,KSS FH,Fast Drop,3,22,30,73,56,36
JPN,YW BH,Fast Lift,3,23,56,32,23,66
INA,KSS FH,Slow Drop,3,24,25,66,57,44
JPN,YW FH,Slow Lift,3,24,57,55,22,28
INA,KSS FH,Smash,3,26,24,30,68,32
JPN,YW BH,Fast Lift,3,27,68,31,30,66
INA,MFG FH,Smash,3,27,30,71,71,79
JPN,HE BH,Drive Up,3,28,69,78,-,-
INA,MFG BH,Flick Serve,3,43,42,48,74,58
JPN,YW FH,Smash,3,43,71,61,34,61
INA,KSS BH,Fast Lift,3,44,35,58,78,67
JPN,YW FH,Slow Drop,3,45,73,66,42,44
INA,MFG FH,Slow Lift,3,46,43,43,76,32
JPN,YW FH,Smash,3,47,77,39,33,28
INA,MFG BH,Fast Lift,3,48,35,31,74,57
JPN,HE FH,Half Smash,3,49,73,59,43,47
INA,KSS BH,Drive Up,3,49,42,47,68,68
JPN,YW FH,Slow Drop,3,51,67,69,-,-
INA,MFG BH,Flick Serve,4,9,42,57,74,23
JPN,HE FH,Smash,4,10,68,23,40,46
INA,MFG FH,Drive Up,4,10,39,51,73,35
JPN,HE FH,Fast Drop,4,11,72,33,44,68
INA,KSS FH,Drive Flat,4,12,45,65,68,71
JPN,YW FH,Fast Lift,4,13,68,77,26,77
INA,MFG FH,Smash,4,13,26,77,69,54
JPN,HE BH,Drive Flat,4,13,68,49,42,67
INA,KSS FH,Drive Up,4,14,41,68,71,61
JPN,YW FH,Drive Flat,4,14,68,69,41,36
INA,KSS OH,Drive Up,4,14,40,38,65,37
JPN,HE FH,Slow Drop,4,15,66,32,43,46
INA,KSS FH,Slow Lift,4,17,43,48,74,31
JPN,YW FH,Smash,4,17,76,34,35,27
INA,KSS BH,Fast Lift,4,17,35,28,71,53
JPN,HE OH,Smash,4,18,68,53,38,57
INA,MFG BH,Slow Drop,4,21,37,62,-,-
JPN,YW BH,Low Serve,4,24,58,52,42,48
INA,KSS FH,Drive Down,4,24,43,42,62,25
JPN,HE BH,Slow Lift,4,26,63,22,21,69
INA,MFG FH,Smash,4,26,22,72,71,69
JPN,YW FH,Drive Flat,4,26,64,74,39,74
INA,KSS FH,Slow Drop,4,27,38,75,57,84
JPN,YW FH,Slow Lift,4,29,58,86,22,42
INA,MFG FH,Slow Drop,4,29,22,39,57,31
JPN,HE FH,Slow Lift,4,31,57,30,22,67
INA,MFG FH,Slow Drop,4,31,23,68,56,65
JPN,YW BH,Slow Lift,4,33,57,66,22,71
INA,MFG FH,Smash,4,34,22,71,67,59
JPN,YW BH,Drive Up,4,34,67,58,38,64
INA,KSS FH,Drive Down,4,35,38,72,68,75
JPN,YW BH,Fast Lift,4,36,67,76,26,75
INA,MFG FH,Smash,4,36,26,72,68,74
JPN,YW BH,Slow Lift,4,37,68,76,22,75
INA,MFG FH,Smash,4,38,23,71,68,57
JPN,YW BH,Fast Lift,4,39,66,56,23,57
INA,MFG FH,Slow Drop,4,40,23,56,56,39
JPN,HE BH,Slow Lift,4,41,56,36,21,37
INA,MFG FH,Smash,4,41,21,38,69,23
JPN,HE FH,Fast Lift,4,42,69,25,40,56
INA,KSS FH,Slow Drop,4,43,41,55,57,23
JPN,HE FH,Slow Lift,4,44,57,28,22,65
INA,MFG FH,Smash,4,45,23,70,70,69
JPN,YW FH,Drive Flat,4,45,68,73,38,74
INA,KSS FH,Slow Drop,4,46,38,75,58,75
JPN,YW FH,Drive Flat,4,47,58,73,-,-
INA,KSS BH,Flick Serve,5,12,42,48,74,52
JPN,YW OH,Slow Lift,5,14,73,49,33,35
INA,MFG FH,Smash,5,14,34,34,68,37
JPN,YW BH,Fast Lift,5,15,69,38,42,49
INA,KSS FH,Half Smash,5,15,42,49,68,38
INA,KSS BH,Flick Serve,5,38,42,54,73,11
JPN,HE FH,Smash,5,39,71,16,35,22
INA,MFG BH,Slow Drop,5,40,35,28,57,21
JPN,YW BH,Drive Flat,5,40,57,22,32,23
INA,MFG BH,Slow Lift,5,42,31,22,79,31
JPN,YW FH,Half Smash,5,42,77,36,35,39
INA,MFG BH,Slow Lift,5,45,33,29,80,91
INA,KSS BH,Flick Serve,6,23,42,48,74,52
JPN,YW OH,Half Smash,6,25,73,47,36,69
INA,MFG FH,Drive Up,6,22,37,72,60,37
JPN,HE FH,Drive Flat,6,22,59,30,-,-
INA,KSS BH,Flick Serve,6,38,42,54,67,36
JPN,HE OH,Half Smash,6,39,67,30,42,56
INA,KSS FH,Drive Up,6,39,41,55,65,30
JPN,HE FH,Drive Down,6,40,65,28,31,40
INA,MFG BH,Slow Lift,6,41,35,41,78,39
JPN,HE FH,Smash,6,41,77,35,36,39
INA,MFG BH,Fast Lift,6,42,31,40,70,46
JPN,HE FH,Smash,6,42,70,50,35,62
INA,KSS BH,Fast Lift,6,43,34,65,72,46
JPN,HE FH,Smash,6,43,70,48,34,67
INA,KSS BH,Fast Lift,6,44,33,72,73,58
JPN,HE FH,Fast Drop,6,45,71,58,42,46
INA,MFG FH,Slow Lift,6,46,41,43,78,32
JPN,HE FH,Fast Drop,6,47,78,36,41,30
INA,MFG BH,Slow Lift,6,48,40,30,78,47
JPN,HE FH,Smash,6,49,77,49,36,41
INA,MFG BH,Slow Lift,6,50,35,42,78,58
JPN,HE FH,Smash,6,50,77,59,35,51
INA,KSS BH,Drive Up,6,51,35,56,60,65
JPN,YW FH,Drive Down,6,52,60,73,29,76
INA,KSS FH,Drive Up,6,52,30,76,60,74
JPN,YW FH,Fast Drop,6,52,59,75,41,50
INA,MFG FH,Slow Lift,6,53,42,51,59,38
JPN,YW OH,Smash,6,54,58,37,38,36
JPN,HE BH,Low Serve,7,20,58,45,41,76
INA,KSS FH,Drive Flat,7,20,40,73,70,76
JPN,YW FH,Slow Lift,7,21,69,76,29,75
INA,MFG FH,Smash,7,22,29,75,70,76
JPN,YW BH,Drive Up,7,22,69,75,-,-
INA,MFG BH,Low Serve,7,38,42,48,58,59
JPN,YW FH,Drive Flat,7,39,58,55,39,26
INA,KSS BH,Drive Flat,7,39,38,28,67,26
JPN,HE FH,Slow Lift,7,40,68,23,30,25
INA,KSS FH,Slow Drop,7,41,29,27,57,37
JPN,HE FH,Slow Drop,7,41,58,37,44,45
INA,MFG BH,Slow Lift,7,42,42,50,77,62
JPN,YW FH,Half Smash,7,43,76,62,44,56
INA,KSS FH,Drive Down,7,43,43,53,71,70
JPN,YW FH,Fast Lift,7,45,73,73,26,44
INA,MFG OH,Fast Drop,7,45,24,44,59,69
JPN,YW FH,Slow Lift,7,47,58,73,22,35
INA,MFG FH,Smash,7,47,23,36,68,26
JPN,HE BH,Drive Up,7,48,70,28,39,31
INA,KSS OH,Drive Flat,7,48,37,26,69,25
JPN,HE FH,Drive Flat,7,48,69,28,42,47
INA,KSS FH,Drive Down,7,49,42,47,69,29
JPN,HE FH,Drive Up,7,50,70,26,45,65
INA,KSS FH,Slow Drop,7,50,44,61,57,12
JPN,HE FH,Fast Lift,7,51,57,11,26,73
INA,MFG FH,Smash,7,52,28,73,-,-
JPN,YW BH,Low Serve,8,20,58,53,42,47
INA,MFG BH,Drive Flat,8,21,42,42,58,56
JPN,YW FH,Fast Drop,8,21,58,57,41,48
JPN,YW BH,Low Serve,8,33,58,48,42,54
INA,KSS BH,Fast Drop,8,34,42,52,59,47
JPN,HE BH,Slow Lift,8,35,60,48,-,-
INA,KSS BH,Low Serve,8,49,42,51,58,49
JPN,YW FH,Slow Drop,8,50,56,47,48,48
INA,KSS FH,Drive Flat,8,51,47,51,60,30
JPN,HE FH,Slow Drop,8,51,59,30,45,30
INA,KSS BH,Drive Flat,8,52,44,28,68,40
JPN,HE FH,Drive Up,8,53,68,39,39,65
INA,MFG FH,Drive Down,8,53,38,67,68,71
JPN,HE BH,Drive Up,8,53,67,72,43,67
INA,KSS FH,Drive Down,8,54,42,67,68,63
JPN,HE BH,Drive Up,8,54,67,67,43,53
INA,KSS OH,Drive Down,8,54,43,51,66,32
JPN,YW BH,Drive Up,8,55,68,26,-,-